Landkreis;Gemeinde;Ortsteil;Haltestelle;Haltestelle_lang;HalteBeschreibung;globaleID;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alb-Donau-Kreis;Allmendingen;Allmendingen (Württ);Bahnhof;Allmendingen Bahnhof;;de:08425:3005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alb-Donau-Kreis;Amstetten;Amstetten (Württ);Bahnhof;Amstetten Bahnhof;;de:08425:2551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alb-Donau-Kreis;Amstetten;Amstetten (Württ);Lokalbahnhof;Amstetten Lokalbahnhof;;de:08425:2559;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alb-Donau-Kreis;Amstetten;Stubersheim;Bahnhof;Stubersheim Bahnhof;;de:08425:2565;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alb-Donau-Kreis;Amstetten;Schalkstetten;Bahnhof;Schalkstetten Bahnhof;;de:08425:2576;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alb-Donau-Kreis;Beimerstetten;Beimerstetten;Bahnhof;Beimerstetten Bahnhof;;de:08425:2460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alb-Donau-Kreis;Blaubeuren;Blaubeuren;Bahnhof;Blaubeuren Bahnhof;;de:08425:2811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alb-Donau-Kreis;Blaubeuren;Gerhausen;Bahnhof;Gerhausen Bahnhof;;de:08425:2850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alb-Donau-Kreis;Blaustein;Blaustein;Bahnhof;Blaustein Bahnhof;;de:08425:2713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alb-Donau-Kreis;Blaustein;Herrlingen;Bahnhof;Herrlingen Bahnhof;;de:08425:2728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alb-Donau-Kreis;Ehingen a.d.Donau;Ehingen (Donau);Bahnhof;Ehingen Bahnhof;;de:08425:3140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
