ID;HST_DHID;HST_Name;Datenquelle;Datenstatus;Longitude;Latitude;Koordindatenquelle;OSM_ID;Sitzplätze;Unterstand;RollstuhlflächeImUnterstand;Fahrplananzeigetafel;Fahrplananzeigetafel_akustisch;Ansagen_vorhanden;Defibrillator;Defibrillator_Lagebeschreibung;Gepäckaufbewahrung;Gepäcktransport;InduktiveHöranlage;InduktiveHöranlageStandort;InfoNotrufsäule;Bahnhofsmission;HaltestelleTotale_Foto;SitzeOderUnterstand_Foto;SitzeOderUnterstandUmgebung_Foto;Fahrplananzeigetafel_Foto;Defibrillator_Foto;Gepäckaufbewahrung_Foto;InfoNotrufsäule_Foto;Bahnhofsmision_Foto;BahnhofsmissionWeg_Foto;BahnhofsmissionÖffnungszeiten_Foto;WeitereBilder1_Foto;WeitereBilder2_Foto;WeitereBilder3_Foto
de:08136:4817;de:08136:4817;Bahnhof (Lauchheim);NVBW;Rohdaten;10,2368057;48,8689255;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08136:4817/8f4b69cb-c70b-4f06-a0e1-599f3a43d057.jpg;;;;;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08136:4817/d6dc6e3c-a974-46ef-b0a6-c128e7cc02de.jpg;;
de:08119:5051;de:08119:5051;Bahnhof (Haubersbronn);NVBW;Rohdaten;9,549957;48,8240728;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
de:08216:32827;de:08216:32827;Ottenau;NVBW;Rohdaten;8,3381085;48,7929731;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
de:08125:31504;de:08125:31504;Nord (Neckarsulm);NVBW;Rohdaten;9,2287881;49,2022563;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08125:31504/4595a7f9-a17d-404a-9403-7c232bd47037.jpg;;;;;;;;;;;;
de:08216:32826;de:08216:32826;Weinbrennerstraße (Bad Rotenfels);NVBW;Rohdaten;8,3121562;48,8114987;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
de:08136:5210;de:08136:5210;Schwabsberg Bahnhof;NVBW;Rohdaten;10,1389791;48,9251709;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08136:5210/3d1d7e08-fc5b-473c-9511-1901765429fa.jpg;;;;;;;;;;;;
de:08119:5789;de:08119:5789;Bahnhof (Urbach (Rems));NVBW;Rohdaten;9,5747829;48,8049507;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
de:08216:32828;de:08216:32828;Hörden (Gaggenau);NVBW;Rohdaten;8,3451603;48,7815857;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
de:08325:20523;de:08325:20523;Bahnhof Göllsdorf;NVBW;Rohdaten;8,6511175;48,1600687;Haltestelle-Sollposition;;nein;nein;;nein;nein;nein;nein;;nein;nein;nein;;keine;nein;;;;;;;;;;;;;
de:08125:4344;de:08125:4344;Bahnhof (Weinsberg);NVBW;Rohdaten;9,286415;49,1481509;Haltestelle-Sollposition;;nein;nein;;ja;ja;nein;nein;;nein;nein;nein;;keine;nein;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08125:4344/bc1b945c-1466-4f51-b55d-8bcf21149566.jpg;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08125:4344/043f6900-1e2f-4768-b113-fe047dd6bc97.jpg;;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08125:4344/a750e962-3067-4815-a2fc-b009dc8e99e6.jpg;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08125:4344/08b9d842-2a68-4024-b10d-daf1c34de9dc.jpg;
